Latitude,Longitude,Depth,Magnitude
62.2794,-146.2305,37.7,1
61.4897,-140.4458,18.2,1.2
36.2335,-117.5723333,1.61,1.06
44.6408333,-113.6545,5.96,1.09
52.7538,-166.7053,23,2.3
51.9592,-174.4556,59.8,1.7
33.6793333,-116.773,12.32,0.71
60.0676,-140.6684,4.8,1.8
64.5785,-147.928,17.7,0.2
61.0883,-150.7321,53.6,1.8
37.4481667,-118.4723333,3.46,1.29
33.7285,-115.9443333,1.86,0.87
55.4102,-163.115,156.7,2
0.0756,123.4162,143.78,5.4
33.97,-116.5561667,8.47,1
62.7307,-149.4495,64.5,1.8
38.0431,-118.7324,11.6,0.3
61.3076,-152.4781,3.5,1.4
60.3005,-152.2588,85.6,1.5
35.6251667,-117.5813333,6.65,0.73
63.4649,-151.8874,187.9,1.7
53.0032,-169.541,84.8,2.6
-9.5253,107.0091,10,5
39.1345,-118.8096,5.9,1.8
63.3647,-152.6733,0.5,1.2
19.4078333,-155.635,3.542,0.69
40.437,-121.749,8.42,0.52
52.7454,-167.5684,26.7,1.7
61.3038,-152.4851,1.3,2.3
61.309,-152.4639,3.2,1
61.4642,-140.6685,7.1,2.1
37.5277,-117.5832,0,0.1
38.0175,-118.8406667,0.5,1.27
37.656,-118.9081667,2.69,0.2
63.0314,-151.5678,10.5,2.6
53.3339,-167.2707,68.8,1.7
37.6886667,-119.3005,16.84,1.26
58.161,-154.8593,96.7,2.4
19.5618333,-155.9803333,11.121,1.56
47.1991667,-121.8881667,19,0.96
38.3564,-118.1266,4.1,0.7
62.9673,-148.7633,68.4,2.1
62.5829,-135.6387,5.1,1.9
56.0359,162.4678,61,4.8
-24.137,-67.3328,210.4,4.6
51.8256,176.2708,72.5,3.8
51.864,-171.0013,2.9,2.6
33.4808333,-116.4556667,13.29,0.6
53.3479,-164.055,22.4,1.7
36.575,-121.1061667,8.79,0.73
58.3166,-154.9214,8.4,1.7
60.0367,-151.5331,73.4,1.8
19.3537,-65.1763,91,2.5
39.9133,-120.7184,12.3,0.9
33.192,-115.6456667,3.11,1.25
35.207,-117.2721667,2.89,1.8
63.3077,-151.4598,12.4,1
38.8240013,-122.8453369,1.45,0.73
33.1928333,-115.642,3.15,1.67
52.3274,-175.6794,237.2,2.4
36.5716667,-121.1088333,7.34,1.24
60.4268,-152.0762,84.7,1.8
37.3372,-115.2686,0,0.1
38.8376656,-122.8278351,2.31,0.57
38.8205,-122.7658333,2.4,0.5
33.1893333,-115.6475,3.01,2.54
33.1881667,-115.6433333,3.33,1.38
35.9996667,-120.56,1.52,0.79
55.0123,-161.7813,10,1.3
37.1846,-117.7023,0,0.3
37.2968,-117.6282,0,0.1
38.8351667,-122.8075,1.31,1.45
38.8364983,-122.809166,0.99,0.56
34.3268333,-116.9418333,-1.35,1.6
21.809,99.8216,14.46,4.7
60.8694,-148.031,25.4,1.3
53.2657,-166.6508,45.4,1.9
38.7803345,-122.7338333,0.34,0.91
33.192,-115.645,3.81,1.47
-31.9132,179.3506,442.35,4
61.5027,-141.5306,18.7,0.9
51.536,-179.7503,69.7,1.8
37.2715,-117.6404,5.4,0.9
-30.398,-72.137,27.3,4.4
37.2967,-117.606,0,0.3
33.1928333,-115.6446667,3.63,1.52
53.7825,-166.7826,4.9,0.6
19.3133333,-155.2096667,7.039,0.76
19.4056667,-155.039,4.248,1.97
61.2327,-147.573,0,1.2
19.4276667,-155.6116667,2.862,2.68
54.1492,-164.0869,26.6,2.1
18.4587,-67.2733,115,3
19.4241667,-155.6226667,2.622,2.66
60.2996,-141.1182,18.8,1
59.739,-153.1472,108.1,1.8
60.2031,-141.3439,0,1.5
38.7501667,-122.6881667,0.06,1.24
60.3077,-141.1318,16,1.5
61.3669,-145.951,33.2,1
54.7742,-163.6866,7.8,1.6
37.2087,-117.6909,4.7,0.3
35.8936667,-120.4433333,9.4,0.68
35.9721,-116.78,8.9,0.1
33.2613333,-116.7828333,7.31,0.88
38.839,-122.8186667,0.53,1.59
38.8398333,-122.8195,0.11,0.01
38.7508333,-122.7243333,1.42,1.66
34.1118333,-116.7928333,11.45,1.35
38.7486667,-122.7271667,1.23,0.34
38.8251648,-122.8538361,1.87,0.81
37.9615,-118.4609,8.9,0.6
